--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
            -149.0,   -0.02483333,       0.00000000,       0.00000000,       0.00000000,       0.00000000
            -148.0,   -0.02466667,       0.00000000,       0.00000000,       0.03112035,       0.00000000
            -147.0,   -0.02450000,       0.00000000,       0.00000000,       0.03085951,       0.00000000
            -146.0,   -0.02433333,       0.00000000,       0.00000000,       0.03059162,       0.00000000
            -145.0,   -0.02416667,       0.00000000,       0.00000000,       0.03031649,       0.00000000
            -144.0,   -0.02400000,       0.00000000,       0.00000000,       0.03003398,       0.00000000
            -143.0,   -0.02383333,       0.00000000,       0.00000000,       0.02974395,       0.00000000
            -142.0,   -0.02366667,       0.00000000,       0.00000000,       0.02944623,       0.00000000
            -141.0,   -0.02350000,       0.00000000,       0.00000000,       0.02914067,       0.00000000
            -140.0,   -0.02333333,       0.00000000,       0.00000000,       0.02882711,       0.00000000
            -139.0,   -0.02316667,       0.00000000,       0.00000000,       0.02850536,       0.00000000
            -138.0,   -0.02300000,       0.00000000,       0.00000000,       0.02817524,       0.00000000
            -137.0,   -0.02283333,       0.00000000,       0.00000000,       0.02783657,       0.00000000
            -136.0,   -0.02266667,       0.00000000,       0.00000000,       0.02748915,       0.00000000
            -135.0,   -0.02250000,       0.00000000,       0.00000000,       0.02713277,       0.00000000
            -134.0,   -0.02233333,       0.00000000,       0.00000000,       0.02676723,       0.00000000
            -133.0,   -0.02216667,       0.00000000,       0.00000000,       0.02639228,       0.00000000
            -132.0,   -0.02200000,       0.00000000,       0.00000000,       0.02600771,       0.00000000
            -131.0,   -0.02183333,       0.00000000,       0.00000000,       0.02561327,       0.00000000
            -130.0,   -0.02166667,       0.00000000,       0.00000000,       0.02520871,       0.00000000
            -129.0,   -0.02150000,       0.00000000,       0.00000000,       0.02479376,       0.00000000
            -128.0,   -0.02133333,       0.00000000,       0.00000000,       0.02436815,       0.00000000
            -127.0,   -0.02116667,       0.00000000,       0.00000000,       0.02393365,       0.00000000
            -126.0,   -0.02100000,       0.00000000,       0.00000000,       0.02348734,       0.00000000
            -125.0,   -0.02083333,       0.00000000,       0.00000000,       0.02302955,       0.00000000
            -124.0,   -0.02066667,       0.00000000,       0.00000000,       0.02255996,       0.00000000
            -123.0,   -0.02050000,       0.00000000,       0.00000000,       0.02207823,       0.00000000
            -122.0,   -0.02033333,       0.00000000,       0.00000000,       0.02158403,       0.00000000
            -121.0,   -0.02016667,       0.00000000,       0.00000000,       0.02107699,       0.00000000
            -120.0,   -0.02000000,       0.00000000,       0.00000000,       0.02055672,       0.00000000
            -119.0,   -0.01983333,       0.00000000,       0.00000000,       0.02002284,       0.00000000
            -118.0,   -0.01966667,       0.00000000,       0.00000000,       0.01947492,       0.00000000
            -117.0,   -0.01950000,       0.00000000,       0.00000000,       0.01891255,       0.00000000
            -116.0,   -0.01933333,       0.00000000,       0.00000000,       0.01833527,       0.00000000
            -115.0,   -0.01916667,       0.00000000,       0.00000000,       0.01774260,       0.00000000
            -114.0,   -0.01900000,       0.00000000,       0.00000000,       0.01713407,       0.00000000
            -113.0,   -0.01883333,       0.00000000,       0.00000000,       0.01650915,       0.00000000
            -112.0,   -0.01866667,       0.00000000,       0.00000000,       0.01586731,       0.00000000
            -111.0,   -0.01850000,       0.00000000,       0.00000000,       0.01520799,       0.00000000
            -110.0,   -0.01833333,       0.00000000,       0.00000000,       0.01453060,       0.00000000
            -109.0,   -0.01816667,       0.00000000,       0.00000000,       0.01383452,       0.00000000
            -108.0,   -0.01800000,       0.00000000,       0.00000000,       0.01311912,       0.00000000
            -107.0,   -0.01783333,       0.00000000,       0.00000000,       0.01238371,       0.00000000
            -106.0,   -0.01766667,       0.00000000,       0.00000000,       0.01162760,       0.00000000
            -105.0,   -0.01750000,       0.00000000,       0.00000000,       0.01085004,       0.00000000
            -104.0,   -0.01733333,       0.00000000,       0.00000000,       0.01005025,       0.00000000
            -103.0,   -0.01716667,       0.00000000,       0.00000000,       0.00922743,       0.00000000
            -102.0,   -0.01700000,       0.00000000,       0.00000000,       0.00838071,       0.00000000
            -101.0,   -0.01683333,       0.00000000,       0.00000000,       0.00750921,       0.00000000
            -100.0,   -0.01666667,       0.00000000,       0.00000000,       0.00661198,       0.00000000
             -99.0,   -0.01650000,       0.00000000,       0.00000000,       0.00568802,       0.00000000
             -98.0,   -0.01633333,       0.00000000,       0.00000000,       0.00473630,       0.00000000
             -97.0,   -0.01616667,       0.00000000,       0.00000000,       0.00375573,       0.00000000
             -96.0,   -0.01600000,       0.00000000,       0.00000000,       0.00274516,       0.00000000
             -95.0,   -0.01583333,       0.00000000,       0.00000000,       0.00170337,       0.00000000
             -94.0,   -0.01566667,       0.00000000,       0.00000000,       0.00062909,       0.00000000
             -93.0,   -0.01550000,       0.00000000,       0.00000000,      -0.00047903,       0.00000000
             -92.0,   -0.01533333,       0.00000000,       0.00000000,      -0.00162238,       0.00000000
             -91.0,   -0.01516667,       0.00000000,       0.00000000,      -0.00280248,       0.00000000
             -90.0,   -0.01500000,       0.00000000,       0.00000000,      -0.00402089,       0.00000000
             -89.0,   -0.01483333,       0.00000000,       0.00000000,      -0.00527926,       0.00000000
             -88.0,   -0.01466667,       0.00000000,       0.00000000,      -0.00657935,       0.00000000
             -87.0,   -0.01450000,       0.00000000,       0.00000000,      -0.00792301,       0.00000000
             -86.0,   -0.01433333,       0.00000000,       0.00000000,      -0.00931219,       0.00000000
             -85.0,   -0.01416667,       0.00000000,       0.00000000,      -0.01074895,       0.00000000
