--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0 Cycle No. =  21--------------------
 Crank_angle[deg.],      Time_[s],  Pressure[bar]_Cyl01
               0.0,    0.00000000,              1.06955
               1.0,    0.00016667,              1.06100
               2.0,    0.00033333,              1.04667
               3.0,    0.00050000,              1.02390
               4.0,    0.00066667,              0.99885
               5.0,    0.00083333,              0.97939
               6.0,    0.00100000,              0.96746
               7.0,    0.00116667,              0.95929
               8.0,    0.00133333,              0.95456
               9.0,    0.00150000,              0.95365
              10.0,    0.00166667,              0.95529
              11.0,    0.00183333,              0.95625
              12.0,    0.00200000,              0.95644
              13.0,    0.00216667,              0.95533
              14.0,    0.00233333,              0.95327
              15.0,    0.00250000,              0.95189
              16.0,    0.00266667,              0.95149
              17.0,    0.00283333,              0.95136
              18.0,    0.00300000,              0.95091
              19.0,    0.00316667,              0.94958
              20.0,    0.00333333,              0.94803
              21.0,    0.00350000,              0.94757
              22.0,    0.00366667,              0.94862
              23.0,    0.00383333,              0.95062
              24.0,    0.00400000,              0.95262
              25.0,    0.00416667,              0.95383
              26.0,    0.00433333,              0.95413
              27.0,    0.00450000,              0.95404
              28.0,    0.00466667,              0.95426
              29.0,    0.00483333,              0.95563
              30.0,    0.00500000,              0.95830
              31.0,    0.00516667,              0.96191
              32.0,    0.00533333,              0.96585
              33.0,    0.00550000,              0.96869
              34.0,    0.00566667,              0.97075
              35.0,    0.00583333,              0.97193
              36.0,    0.00600000,              0.97299
              37.0,    0.00616667,              0.97429
              38.0,    0.00633333,              0.97586
              39.0,    0.00650000,              0.97804
              40.0,    0.00666667,              0.98041
              41.0,    0.00683333,              0.98298
              42.0,    0.00700000,              0.98486
              43.0,    0.00716667,              0.98624
              44.0,    0.00733333,              0.98702
              45.0,    0.00750000,              0.98753
              46.0,    0.00766667,              0.98776
              47.0,    0.00783333,              0.98782
              48.0,    0.00800000,              0.98778
              49.0,    0.00816667,              0.98772
              50.0,    0.00833333,              0.98766
              51.0,    0.00850000,              0.98752
              52.0,    0.00866667,              0.98724
              53.0,    0.00883333,              0.98689
              54.0,    0.00900000,              0.98643
              55.0,    0.00916667,              0.98593
              56.0,    0.00933333,              0.98530
              57.0,    0.00950000,              0.98440
              58.0,    0.00966667,              0.98337
